grower_id,season,concentration_mg/kg,body_weight_kg,days_per_month_at_site,si_daily_mg/day,ef_method_1,avg_daily_dose_method_1,hours_per_month_at_site,si_outdoor_mg/hour,si_indoor_mg/hour,ef_method_2_outdoor,avg_daily_dose_method_2_outdoor,ef_method_2_indoor,avg_daily_dose_method_2_indoor,avg_daily_dose_method_2,hours_per_month_all_activities,ef_method_3_outdoor,avg_daily_dose_method_3_outdoor,ef_method_3_indoor,avg_daily_dose_method_3_indoor,avg_daily_dose_method_3
1,Spring,400.0,86.9,30.449999999999996,378.0,0.9999999999999999,0.001739930955120828,243.59999999999997,45.25,1.375,0.3333333333333333,0.001666283084004603,0.6666666666666667,0.00010126582278481013,0.001767548906789413,51.0,0.06978653530377668,0.0003009706719876951,0.9302134646962233,0.00014129824780195798,0.0004422689197896531
1,Summer,400.0,86.9,30.449999999999996,378.0,0.9999999999999999,0.001739930955120828,365.4,45.25,1.375,0.5,0.0024994246260069044,0.5,7.59493670886076e-05,0.002575373993095512,241.5,0.33045977011494254,0.0008721309245097983,0.6695402298850575,0.00010170231340026189,0.0009738332379100602
1,Fall,400.0,86.9,30.449999999999996,378.0,0.9999999999999999,0.001739930955120828,334.94999999999993,45.25,1.375,0.45833333333333326,0.0022911392405063286,0.5416666666666667,8.227848101265824e-05,0.002373417721518987,15.5,0.021209633278598795,8.721309245097983e-05,0.9787903667214012,0.0001486770177298331,0.00023589011018081293
1,Winter,400.0,86.9,13.049999999999999,378.0,0.42857142857142855,0.0007456846950517836,91.35,45.25,1.375,0.125,0.0006248561565017261,0.875,0.0001329113924050633,0.0007577675489067894,78.0,0.10673234811165846,0.0003283316421683947,0.8932676518883416,0.00013568622560329238,0.0004640178677716871
2,Winter,400.0,73.6,21.75,378.0,0.7142857142857143,0.0014673913043478262,174.0,45.25,1.375,0.2380952380952381,0.0014052795031055903,0.7619047619047619,0.00013664596273291925,0.0015419254658385097,257.0,0.35166940339354136,0.0024471246519597346,0.6483305966064586,0.00011627668308702794,0.0025634013350467628
2,Spring,400.0,73.6,30.449999999999996,378.0,0.9999999999999999,0.0020543478260869564,365.4,45.25,1.375,0.5,0.0029510869565217393,0.5,8.967391304347827e-05,0.0030407608695652176,363.0,0.4967159277504105,0.004231991147283501,0.5032840722495895,9.026290426215463e-05,0.004322254051545656
2,Summer,400.0,73.6,30.449999999999996,378.0,0.9999999999999999,0.0020543478260869564,456.74999999999994,45.25,1.375,0.625,0.0036888586956521745,0.375,6.72554347826087e-05,0.0037561141304347833,380.5,0.5206622879036672,0.002681337902477333,0.4793377120963328,8.596817662597273e-05,0.0027673060791033057
2,Fall,400.0,73.6,26.099999999999998,378.0,0.8571428571428571,0.0017608695652173915,208.79999999999998,45.25,1.375,0.2857142857142857,0.0016863354037267083,0.7142857142857143,0.00012810559006211182,0.0018144409937888202,189.0,0.25862068965517243,0.0014981571714142933,0.7413793103448276,0.0001329647676161919,0.0016311219390304852
3,Spring,400.0,84.0,21.75,378.0,0.7142857142857143,0.0012857142857142859,65.25,45.25,1.375,0.08928571428571429,0.0004617346938775511,0.9107142857142857,0.00014311224489795918,0.0006048469387755103,55.0,0.0752599890530925,0.0004528892016576746,0.9247400109469075,0.00014531628743451403,0.0005982054890921886
3,Summer,400.0,84.0,8.7,378.0,0.2857142857142857,0.0005142857142857143,69.6,45.25,1.375,0.09523809523809523,0.000492517006802721,0.9047619047619048,0.00014217687074829933,0.0006346938775510203,19.5,0.026683087027914616,0.00016275705684572683,0.9733169129720853,0.0001529498006098991,0.00031570685745562594
4,Spring,400.0,87.4,21.75,378.0,0.7142857142857143,0.0012356979405034323,174.0,45.25,1.375,0.2380952380952381,0.0011833932657731286,0.7619047619047619,0.00011507028440666882,0.0012984635501797975,115.5,0.15804597701149425,0.001079676327249909,0.8419540229885057,0.00012716010415844708,0.001206836431408356
4,Fall,400.0,87.4,21.75,378.0,0.7142857142857143,0.0012356979405034323,174.0,45.25,1.375,0.2380952380952381,0.0011833932657731286,0.7619047619047619,0.00011507028440666882,0.0012984635501797975,25.33332,0.034665188834154356,0.00026977734666501333,0.9653348111658456,0.00014579427353992176,0.0004155716202049351
4,Winter,400.0,87.4,17.4,378.0,0.5714285714285714,0.000988558352402746,121.79999999999998,45.25,1.375,0.16666666666666666,0.0008283752860411898,0.8333333333333334,0.00012585812356979406,0.0009542334096109839,4.91666333,0.006727782334428024,1.756952465346274e-05,0.9932722176655719,0.00015001365301127632,0.00016758317766473905
5,Spring,400.0,73.9,30.449999999999996,378.0,0.9999999999999999,0.002046008119079837,60.89999999999999,45.25,1.375,0.08333333333333333,0.0004898511502029769,0.9166666666666666,0.00016373477672530442,0.0006535859269282813,100.0,0.13683634373289547,0.0006997873574328243,0.8631636562671046,0.00015417808203959104,0.0008539654394724154
5,Summer,400.0,73.9,30.449999999999996,378.0,0.9999999999999999,0.002046008119079837,91.35,45.25,1.375,0.125,0.0007347767253044654,0.875,0.00015629228687415425,0.0008910690121786196,104.5,0.14299397920087575,0.0010356048536721394,0.8570060207991242,0.00015307820669213044,0.0011886830603642698
5,Fall,400.0,73.9,30.449999999999996,378.0,0.9999999999999999,0.002046008119079837,152.24999999999997,45.25,1.375,0.20833333333333331,0.0012246278755074424,0.7916666666666667,0.00014140730717185387,0.0013660351826792962,66.0,0.090311986863711,0.000571090831927937,0.909688013136289,0.00016248825133151573,0.0007335790832594528
5,Winter,400.0,73.9,30.449999999999996,378.0,0.9999999999999999,0.002046008119079837,30.449999999999996,45.25,1.375,0.041666666666666664,0.00024492557510148846,0.9583333333333334,0.00017117726657645465,0.0004161028416779431,3.0,0.004105090311986864,1.2065299266083174e-05,0.9958949096880131,0.00017788650619596444,0.00018995180546204762
6,Summer,400.0,67.9,4.35,378.0,0.14285714285714285,0.0003181148748159057,34.8,45.25,1.375,0.047619047619047616,0.00030464969492951816,0.9523809523809523,0.0001851462234378287,0.0004897959183673469,30.5,0.04173508483853312,0.00040050929721337523,0.9582649151614668,0.00018629008659987276,0.0005867993838132479
6,Fall,400.0,67.9,4.35,378.0,0.14285714285714285,0.0003181148748159057,30.449999999999996,45.25,1.375,0.041666666666666664,0.0002665684830633284,0.9583333333333334,0.00018630338733431514,0.00045287187039764354,14.0,0.019157088122605366,0.0001925946347255575,0.9808429118773946,0.0001906793289658558,0.0003832739636914133
6,Winter,400.0,67.9,2.175,378.0,0.07142857142857142,0.00015905743740795284,4.35,45.25,1.375,0.005952380952380952,3.808121186618977e-05,0.9940476190476191,0.00019324637071323376,0.00023132758257942353,0.0,0.0,0.0,1.0,0.00019440353460972016,0.00019440353460972016
6,Spring,400.0,67.9,30.449999999999996,378.0,0.9999999999999999,0.00222680412371134,182.7,45.25,1.375,0.25,0.0015994108983799704,0.75,0.00014580265095729013,0.0017452135493372604,160.5,0.21962233169129725,0.002396490057096426,0.7803776683087027,0.0001517081770497036,0.0025481982341461294
7,Spring,400.0,87.8,30.449999999999996,378.0,0.9999999999999999,0.0017220956719817763,365.4,45.25,1.375,0.5,0.0024738041002277905,0.5,7.517084282460137e-05,0.0025489749430523917,394.0,0.5391351943076081,0.002694510213165464,0.46086480569239185,6.928719174418648e-05,0.00276379740490965
7,Summer,400.0,87.8,30.449999999999996,378.0,0.9999999999999999,0.0017220956719817763,304.49999999999994,45.25,1.375,0.41666666666666663,0.002061503416856492,0.5833333333333334,8.769931662870161e-05,0.002149202733485194,384.0,0.5254515599343186,0.0033309020725563023,0.4745484400656814,7.134441240167421e-05,0.0034022464849579764
7,Fall,400.0,87.8,26.099999999999998,378.0,0.8571428571428571,0.0014760820045558087,313.2,45.25,1.375,0.4285714285714286,0.0021204035144809633,0.5714285714285714,8.590953465668728e-05,0.0022063130491376507,305.0,0.4173508483853312,0.0022341416340316664,0.5826491516146688,8.759645559582721e-05,0.0023217380896274936
7,Winter,400.0,87.8,30.449999999999996,378.0,0.9999999999999999,0.0017220956719817763,106.57499999999999,45.25,1.375,0.14583333333333331,0.0007215261958997722,0.8541666666666667,0.00012841685649202735,0.0008499430523917996,46.0,0.06294471811713191,0.0003317361820228838,0.9370552818828681,0.00014087847062475926,0.00047261465264764307
8,Fall,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,152.24999999999997,45.25,1.375,0.20833333333333331,0.001289173789173789,0.7916666666666667,0.00014886039886039887,0.001438034188034188,43.5,0.05952380952380953,0.00018416768416768418,0.9404761904761905,0.00017684167684167682,0.000361009361009361
8,Winter,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,91.35,45.25,1.375,0.125,0.0007735042735042736,0.875,0.00016452991452991454,0.0009380341880341882,5.0,0.0068418171866447735,2.116869932961887e-05,0.9931581828133552,0.0001867476924948189,0.0002079163918244378
8,Spring,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,304.49999999999994,45.25,1.375,0.41666666666666663,0.002578347578347578,0.5833333333333334,0.00010968660968660969,0.0026880341880341878,95.5,0.13067870826491518,0.001028798787419477,0.8693212917350848,0.00016346212323223818,0.0011922609106517152
8,Summer,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,274.04999999999995,45.25,1.375,0.37499999999999994,0.00232051282051282,0.625,0.00011752136752136752,0.0024380341880341876,139.8,0.19129720853858787,0.0006680841508427714,0.8087027914614121,0.0001520637727534279,0.0008201479235961993
9,Spring,400.0,84.0,8.7,378.0,0.2857142857142857,0.0005142857142857143,69.6,45.25,1.375,0.09523809523809523,0.000492517006802721,0.9047619047619048,0.00014217687074829933,0.0006346938775510203,17.0,0.023262178434592228,0.000127375087966221,0.9767378215654078,0.00015348737196027834,0.00028086245992649933
9,Summer,400.0,84.0,26.099999999999998,378.0,0.8571428571428571,0.001542857142857143,39.15,45.25,1.375,0.053571428571428575,0.0002770408163265306,0.9464285714285714,0.00014872448979591835,0.00042576530612244894,16.5,0.02257799671592775,0.00013798967863007272,0.9774220032840722,0.00015359488623035422,0.00029158456486042694
9,Fall,400.0,84.0,4.35,378.0,0.14285714285714285,0.00025714285714285715,17.4,45.25,1.375,0.023809523809523808,0.00012312925170068024,0.9761904761904762,0.0001534013605442177,0.00027653061224489794,3.25,0.004447181171319103,4.334291187739463e-05,0.9955528188286809,0.00015644401438736412,0.00019978692626475877
9,Winter,400.0,84.0,4.35,378.0,0.14285714285714285,0.00025714285714285715,21.75,45.25,1.375,0.029761904761904764,0.00015391156462585037,0.9702380952380952,0.00015246598639455784,0.0003063775510204082,0.0,0.0,0.0,1.0,0.00015714285714285713,0.00015714285714285713
10,Spring,400.0,73.9,17.4,378.0,0.5714285714285714,0.00116914749661705,26.099999999999998,45.25,1.375,0.03571428571428571,0.0002099362072298473,0.9642857142857143,0.00017224047941233325,0.00038217668664218053,31.0,0.04241926655719759,0.00022119715321152492,0.9575807334428024,0.00017104283736732058,0.00039223999057884547
10,Summer,400.0,73.9,21.75,378.0,0.7142857142857143,0.0014614343707713125,43.5,45.25,1.375,0.05952380952380953,0.00034989367871641217,0.9404761904761905,0.00016798762806881885,0.000517881306785231,10.5,0.014367816091954023,0.00013573461674343574,0.985632183908046,0.0001760533806168634,0.00031178799736029917
10,Fall,400.0,73.9,15.224999999999998,378.0,0.49999999999999994,0.0010230040595399185,15.224999999999998,45.25,1.375,0.020833333333333332,0.00012246278755074423,0.9791666666666666,0.00017489851150202974,0.000297361299052774,36.0,0.049261083743842374,0.00023527333568862196,0.9507389162561576,0.0001698207536479199,0.00040509408933654185
10,Winter,400.0,73.9,4.35,378.0,0.14285714285714285,0.0002922868741542625,4.35,45.25,1.375,0.005952380952380952,3.498936787164121e-05,0.9940476190476191,0.00017755654359172626,0.00021254591146336747,4.0,0.005473453749315818,2.6141481743180218e-05,0.9945265462506842,0.0001776420894520843,0.0002037835711952645
11,Spring,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,91.35,45.25,1.375,0.125,0.0007735042735042736,0.875,0.00016452991452991454,0.0009380341880341882,74.0,0.10125889436234264,0.0005503861825700907,0.8987411056376573,0.00016899405405152527,0.000719380236621616
11,Summer,400.0,70.2,30.449999999999996,378.0,0.9999999999999999,0.0021538461538461533,152.24999999999997,45.25,1.375,0.20833333333333331,0.001289173789173789,0.7916666666666667,0.00014886039886039887,0.001438034188034188,89.0,0.12178434592227697,0.00040220528726275855,0.8782156540777231,0.000165134567433418,0.0005673398546961765
11,Fall,400.0,70.2,13.049999999999999,378.0,0.42857142857142855,0.0009230769230769231,65.25,45.25,1.375,0.08928571428571429,0.0005525030525030526,0.9107142857142857,0.00017124542124542124,0.0007237484737484738,12.0,0.016420361247947456,5.0804878391085275e-05,0.9835796387520526,0.0001849465987397022,0.0002357514771307875
11,Winter,400.0,70.2,13.049999999999999,378.0,0.42857142857142855,0.0009230769230769231,45.675,45.25,1.375,0.0625,0.0003867521367521368,0.9375,0.0001762820512820513,0.0005630341880341881,0.0,0.0,0.0,1.0,0.00018803418803418803,0.00018803418803418803
12,Spring,400.0,84.0,30.449999999999996,378.0,0.9999999999999999,0.0017999999999999995,197.92499999999998,45.25,1.375,0.2708333333333333,0.001400595238095238,0.7291666666666667,0.00011458333333333333,0.0015151785714285714,285.0,0.3899835796387521,0.002589960121979827,0.6100164203612479,9.585972319962468e-05,0.0026858198451794515
12,Summer,400.0,84.0,30.449999999999996,378.0,0.9999999999999999,0.0017999999999999995,304.49999999999994,45.25,1.375,0.41666666666666663,0.0021547619047619045,0.5833333333333334,9.166666666666668e-05,0.002246428571428571,181.0,0.2476737821565408,0.001475428102275393,0.7523262178434592,0.00011822269137540073,0.0015936507936507938
12,Fall,400.0,84.0,30.449999999999996,378.0,0.9999999999999999,0.0017999999999999995,121.79999999999998,45.25,1.375,0.16666666666666666,0.0008619047619047619,0.8333333333333334,0.00013095238095238096,0.0009928571428571428,50.333333325,0.06887429300082103,0.00041161023793543283,0.931125706999179,0.00014631975395701385,0.0005579299918924466
12,Winter,400.0,84.0,30.449999999999996,378.0,0.9999999999999999,0.0017999999999999995,15.224999999999998,45.25,1.375,0.020833333333333332,0.00010773809523809523,0.9791666666666666,0.00015386904761904762,0.00026160714285714285,49.0,0.06704980842911878,0.00034674329501915716,0.9329501915708812,0.00014660645867542422,0.0004933497536945814
13,Summer,400.0,84.0,10.875,378.0,0.35714285714285715,0.0006428571428571429,10.875,45.25,1.375,0.014880952380952382,7.695578231292519e-05,0.9851190476190477,0.0001548044217687075,0.0002317602040816327,73.93,0.10116310892172961,0.0002679476503244977,0.8988368910782704,0.0001412457971694425,0.0004091934474939402
13,Fall,400.0,84.0,4.35,378.0,0.14285714285714285,0.00025714285714285715,4.35,45.25,1.375,0.005952380952380952,3.078231292517006e-05,0.9940476190476191,0.00015620748299319728,0.00018698979591836733,1.433332,0.0019613191023535852,7.194324234615686e-06,0.9980386808976465,0.00015683464985534446,0.00016402897408996015
13,Winter,400.0,84.0,0.0,378.0,0.0,0.0,0.0,45.25,1.375,0.0,0.0,1.0,0.00015714285714285713,0.00015714285714285713,0.0,0.0,0.0,1.0,0.00015714285714285713,0.00015714285714285713
13,Spring,400.0,84.0,8.7,378.0,0.2857142857142857,0.0005142857142857143,8.7,45.25,1.375,0.011904761904761904,6.156462585034012e-05,0.9880952380952381,0.0001552721088435374,0.00021683673469387752,8.0,0.010946907498631636,5.2188404097271096e-05,0.9890530925013684,0.00015542262882164363,0.00020761103291891473
14,Summer,400.0,73.6,26.099999999999998,378.0,0.8571428571428571,0.0017608695652173915,234.89999999999998,45.25,1.375,0.3214285714285714,0.0018971273291925467,0.6785714285714286,0.00012170031055900625,0.002018827639751553,25.0,0.034209085933223866,0.00017767901763404017,0.9657909140667761,0.00017321250089241094,0.00035089151852645115
14,Fall,400.0,73.6,21.75,378.0,0.7142857142857143,0.0014673913043478262,174.0,45.25,1.375,0.2380952380952381,0.0014052795031055903,0.7619047619047619,0.00013664596273291925,0.0015419254658385097,20.0,0.02736726874657909,0.0001110493860212751,0.9726327312534209,0.00017443956593132004,0.0002854889519525951
14,Winter,400.0,73.6,21.75,378.0,0.7142857142857143,0.0014673913043478262,174.0,45.25,1.375,0.2380952380952381,0.0014052795031055903,0.7619047619047619,0.00013664596273291925,0.0015419254658385097,0.5,0.0006841817186644773,2.0190797458413654e-06,0.9993158182813355,0.0001792251195830656,0.00018124419932890695
14,Spring,400.0,73.6,30.449999999999996,378.0,0.9999999999999999,0.0020543478260869564,274.04999999999995,45.25,1.375,0.37499999999999994,0.002213315217391304,0.625,0.00011209239130434782,0.002325407608695652,113.0,0.1546250684181719,0.0007107160705361606,0.8453749315818281,0.00015161615620761047,0.000862332226743771
15,Summer,400.0,86.9,21.75,378.0,0.7142857142857143,0.001242807825086306,184.875,45.25,1.375,0.25297619047619047,0.0012645898405392077,0.7470238095238095,0.00011347197106690776,0.0013780618116061155,0.0,0.0,0.0,1.0,0.0001518987341772152,0.0001518987341772152
15,Spring,400.0,86.9,30.449999999999996,378.0,0.9999999999999999,0.001739930955120828,334.94999999999993,45.25,1.375,0.45833333333333326,0.0022911392405063286,0.5416666666666667,8.227848101265824e-05,0.002373417721518987,148.0,0.20251778872468532,0.0010807583221376323,0.7974822112753147,0.00012113653842156679,0.0012018948605591992
15,Fall,400.0,86.9,21.75,378.0,0.7142857142857143,0.001242807825086306,174.0,45.25,1.375,0.2380952380952381,0.001190202202860431,0.7619047619047619,0.00011573236889692585,0.0013059345717573569,160.0,0.21893814997263275,0.0009713144414148342,0.7810618500273673,0.00011864230633327097,0.0010899567477481052
15,Winter,400.0,86.9,17.4,378.0,0.5714285714285714,0.000994246260069045,139.2,45.25,1.375,0.19047619047619047,0.0009521617622883445,0.8095238095238095,0.00012296564195298372,0.0010751274042413283,0.0,0.0,0.0,1.0,0.0001518987341772152,0.0001518987341772152
16,Winter,400.0,70.2,8.7,378.0,0.2857142857142857,0.0006153846153846154,17.4,45.25,1.375,0.023809523809523808,0.00014733414733414732,0.9761904761904762,0.00018355718355718355,0.00033089133089133087,11.999998,0.01642035851122058,0.0001100772280465384,0.9835796414887794,0.00018494659925430038,0.0002950238273008388
16,Spring,400.0,70.2,26.099999999999998,378.0,0.8571428571428571,0.0018461538461538461,247.95,45.25,1.375,0.3392857142857143,0.0020995115995115993,0.6607142857142857,0.00012423687423687423,0.0022237484737484734,172.0,0.2353585112205802,0.001486042692939245,0.7646414887794197,0.0001437787414798909,0.001629821434419136
16,Summer,400.0,70.2,26.099999999999998,378.0,0.8571428571428571,0.0018461538461538461,261.0,45.25,1.375,0.35714285714285715,0.0022100122100122102,0.6428571428571428,0.00012087912087912087,0.002330891330891331,212.0,0.29009304871373837,0.0014564065138777784,0.7099069512862617,0.00013348677716493808,0.0015898932910427164
16,Fall,400.0,70.2,17.4,378.0,0.5714285714285714,0.0012307692307692308,87.0,45.25,1.375,0.11904761904761905,0.0007366707366707368,0.8809523809523809,0.00016564916564916563,0.0009023199023199024,66.5,0.09099616858237548,0.0004953475643130815,0.9090038314176245,0.00017092379736057897,0.0006662713616736605
